Name,Author,Genre,Price,Reviews,Year,User Rating
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,Non Fiction,21,2876.0,2012,4.8
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Non Fiction,21,10795.0,2012,4.6
The Racketeer,John Grisham,Fiction,18,14493.0,2012,4.3
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,Fiction,12,2091.0,2012,4.8
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,Fiction,7,6377.0,2012,4.7
"Thinking, Fast and Slow",Daniel Kahneman,Non Fiction,19,11034.0,2012,4.6
Thomas Jefferson: The Art of Power,Jon Meacham,Non Fiction,23,1904.0,2012,4.5
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,16,29673.0,2012,4.8
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,Non Fiction,6,7497.0,2012,4.4
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Non Fiction,18,17044.0,2012,4.4
Winter of the World: Book Two of the Century Trilogy,Ken Follett,Fiction,15,10760.0,2012,4.5
Allegiant,Veronica Roth,Fiction,13,6310.0,2013,3.9
And the Mountains Echoed,Khaled Hosseini,Fiction,13,12159.0,2013,4.3
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,Non Fiction,10,1329.0,2013,4.8
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Non Fiction,13,4642.0,2013,4.4
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Non Fiction,105,6679.0,2013,4.5
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,Fiction,0,6812.0,2013,4.8
Divergent,Veronica Roth,Fiction,15,27098.0,2013,4.6
Doctor Sleep: A Novel,Stephen King,Fiction,13,15845.0,2013,4.7
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,14,47265.0,2013,3.8
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,5,5594.0,2013,4.6
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,Non Fiction,16,4799.0,2013,4.6
Gone Girl,Gillian Flynn,Fiction,10,57271.0,2013,4.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,7,7038.0,2013,4.9
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,Non Fiction,11,4148.0,2013,4.8
Humans of New York,Brandon Stanton,Non Fiction,15,3490.0,2013,4.8
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,Non Fiction,17,4896.0,2013,4.7
Inferno,Dan Brown,Fiction,14,29651.0,2013,4.1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,8,19576.0,2013,4.9
Joyland (Hard Case Crime),Stephen King,Fiction,12,4748.0,2013,4.5
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,12,11391.0,2013,4.5
Knock-Knock Jokes for Kids,Rob Elliott,Non Fiction,4,3673.0,2013,4.5
Laugh-Out-Loud Jokes for Kids,Rob Elliott,Non Fiction,4,6990.0,2013,4.6
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,Non Fiction,13,6132.0,2013,4.5
"Oh, the Places You'll Go!",Dr. Seuss,Fiction,8,21834.0,2013,4.9
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,10,13616.0,2013,4.3
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46,8580.0,2013,4.5
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,7,10009.0,2013,4.6
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,Fiction,12,7150.0,2013,4.9
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,Non Fiction,6,2272.0,2013,4.1
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,Non Fiction,17,220.0,2013,4.6
StrengthsFinder 2.0,Gallup,Non Fiction,17,5069.0,2013,4.0
Sycamore Row (Jake Brigance),John Grisham,Fiction,18,23114.0,2013,4.5
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,28,3477.0,2013,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,24,9325.0,2013,4.6
The Book Thief,Markus Zusak,Fiction,6,23148.0,2013,4.6
The Day the Crayons Quit,Drew Daywalt,Fiction,9,8922.0,2013,4.8
The Fault in Our Stars,John Green,Fiction,13,50482.0,2013,4.7
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6,3207.0,2013,4.6
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,6,23308.0,2013,4.7
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Fiction,20,33844.0,2013,3.9
The Great Gatsby,F. Scott Fitzgerald,Fiction,7,11616.0,2013,4.4
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,Fiction,14,6982.0,2013,4.8
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,Fiction,20,5396.0,2013,4.9
The Official SAT Study Guide,The College Board,Non Fiction,40,1201.0,2013,4.4
